Date,Time,DOValue,TempValue
2024-01-03,11-41-47,0.00,0.00
2024-01-03,11-41-53,-9999.00,-9999.00
2024-01-03,11-41-54,-9999.00,-9999.00
2024-01-03,11-42-00,-9999.00,-9999.00
2024-01-03,11-42-01,-9999.00,-9999.00
2024-01-03,11-42-34,0.00,0.00
2024-01-03,11-42-36,6.47,28.52
2024-01-03,11-42-37,6.46,28.52
2024-01-03,11-42-38,6.46,28.52
2024-01-03,11-42-40,6.45,28.52
2024-01-03,11-42-41,6.44,28.52
2024-01-03,11-42-42,6.44,28.52
2024-01-03,11-42-44,6.43,28.52
2024-01-03,11-42-45,6.42,28.52
2024-01-03,11-42-46,6.42,28.52
2024-01-03,11-42-48,6.42,28.51
2024-01-03,11-42-49,6.42,28.52
2024-01-03,11-42-50,6.42,28.52
2024-01-03,11-42-52,6.41,28.52
2024-01-03,11-42-53,6.40,28.51
2024-01-03,11-42-54,6.40,28.51
2024-01-03,11-42-55,6.40,28.51
2024-01-03,11-42-57,6.38,28.52
2024-01-03,11-42-58,6.38,28.52
2024-01-03,11-42-59,6.38,28.52
2024-01-03,11-43-01,6.37,28.51
2024-01-03,11-43-02,6.37,28.51
2024-01-03,11-43-03,6.35,28.52
2024-01-03,11-43-05,6.34,28.52
2024-01-03,11-43-06,6.34,28.52
2024-01-03,11-43-07,6.34,28.51
2024-01-03,11-43-09,6.33,28.52
2024-01-03,11-43-10,6.33,28.52
2024-01-03,11-43-11,6.32,28.52
2024-01-03,11-43-12,6.32,28.51
2024-01-03,11-43-14,6.32,28.51
2024-01-03,11-43-15,6.32,28.52
2024-01-03,11-43-16,6.31,28.52
2024-01-03,11-43-18,6.31,28.52
2024-01-03,11-43-19,6.32,28.52
2024-01-03,11-43-20,6.31,28.52
2024-01-03,11-43-22,6.31,28.52
2024-01-03,11-43-23,6.30,28.52
2024-01-03,11-43-24,6.31,28.52
2024-01-03,11-43-26,6.31,28.52
2024-01-03,11-43-27,6.31,28.51
2024-01-03,11-43-28,6.29,28.51
2024-01-03,11-43-29,6.29,28.51
2024-01-03,11-43-31,6.29,28.50
2024-01-03,11-43-32,6.29,28.50
2024-01-03,11-43-33,6.29,28.50
2024-01-03,11-43-35,6.29,28.49
2024-01-03,11-43-36,6.27,28.50
2024-01-03,11-43-37,6.27,28.50
2024-01-03,11-43-39,6.26,28.49
2024-01-03,11-43-40,6.26,28.49
2024-01-03,11-43-41,6.26,28.49
2024-01-03,11-43-43,6.25,28.48
2024-01-03,11-43-44,6.25,28.48
2024-01-03,11-43-45,6.25,28.48
2024-01-03,11-43-46,6.25,28.48
2024-01-03,11-43-48,6.24,28.48
2024-01-03,11-43-49,6.24,28.48
2024-01-03,11-43-50,6.24,28.47
2024-01-03,11-43-52,6.24,28.48
2024-01-03,11-43-53,6.24,28.48
2024-01-03,11-43-54,6.22,28.48
2024-01-03,11-43-56,6.22,28.48
2024-01-03,11-43-57,6.22,28.48
2024-01-03,11-43-58,6.21,28.48
2024-01-03,11-44-00,6.21,28.49
2024-01-03,11-44-01,6.21,28.49
2024-01-03,11-44-02,6.20,28.49
2024-01-03,11-44-04,6.20,28.49
2024-01-03,11-44-05,6.20,28.49
2024-01-03,11-44-06,6.21,28.51
2024-01-03,11-44-08,6.21,28.51
2024-01-03,11-44-09,6.21,28.51
2024-01-03,11-44-10,6.21,28.50
2024-01-03,11-44-12,6.21,28.51
2024-01-03,11-44-13,6.21,28.51
2024-01-03,11-44-14,6.20,28.52
2024-01-03,11-44-16,6.20,28.51
2024-01-03,11-44-17,6.20,28.51
2024-01-03,11-44-18,6.19,28.51
2024-01-03,11-44-20,6.19,28.51
2024-01-03,11-44-21,6.19,28.51
2024-01-03,11-44-22,6.18,28.51
2024-01-03,11-44-24,6.18,28.52
2024-01-03,11-44-25,6.18,28.52
2024-01-03,11-44-26,6.18,28.52
2024-01-03,11-44-28,6.18,28.52
2024-01-03,11-44-29,6.18,28.52
2024-01-03,11-44-30,6.18,28.52
2024-01-03,11-44-31,6.18,28.52
2024-01-03,11-44-33,6.18,28.52
2024-01-03,11-44-34,6.17,28.52
2024-01-03,11-44-35,6.17,28.53
2024-01-03,11-44-37,6.17,28.53
2024-01-03,11-44-38,6.16,28.53
2024-01-03,11-44-39,6.15,28.52
2024-01-03,11-44-41,6.15,28.52
2024-01-03,11-44-42,6.15,28.53
2024-01-03,11-44-43,6.15,28.53
2024-01-03,11-44-45,6.15,28.53
2024-01-03,11-44-46,6.15,28.53
2024-01-03,11-44-47,6.15,28.53
2024-01-03,11-44-49,6.15,28.53
2024-01-03,11-44-50,6.15,28.53
2024-01-03,11-44-51,6.14,28.53
2024-01-03,11-44-52,6.14,28.53
2024-01-03,11-44-54,6.14,28.53
2024-01-03,11-44-55,6.14,28.53
2024-01-03,11-44-56,6.14,28.53
2024-01-03,11-44-58,6.14,28.53
2024-01-03,11-44-59,6.12,28.69
2024-01-03,11-45-00,6.12,28.69
2024-01-03,11-45-02,6.13,28.54
