Date,Time,DOValue,TempValue
2024-01-15,13-22-00,6.61,27.63
2024-01-15,13-22-01,6.61,27.62
2024-01-15,13-22-02,6.61,27.63
2024-01-15,13-22-04,6.61,27.63
2024-01-15,13-22-05,6.60,27.63
2024-01-15,13-22-06,6.61,27.63
2024-01-15,13-22-07,6.61,27.63
2024-01-15,13-22-09,6.60,27.63
2024-01-15,13-22-10,6.62,27.63
2024-01-15,13-22-11,6.62,27.63
2024-01-15,13-22-13,6.62,27.63
2024-01-15,13-22-14,6.64,27.63
2024-01-15,13-22-15,6.64,27.63
2024-01-15,13-22-17,6.60,27.63
2024-01-15,13-22-18,6.61,27.64
2024-01-15,13-22-19,6.61,27.64
2024-01-15,13-22-20,6.61,27.65
2024-01-15,13-22-22,6.61,27.64
2024-01-15,13-22-23,6.61,27.64
2024-01-15,13-22-24,6.63,27.63
2024-01-15,13-22-26,6.61,27.64
2024-01-15,13-22-27,6.61,27.64
2024-01-15,13-22-28,6.64,27.64
2024-01-15,13-22-30,6.61,27.64
2024-01-15,13-22-31,6.61,27.64
2024-01-15,13-22-32,6.63,27.64
2024-01-15,13-22-33,6.66,27.64
2024-01-15,13-22-35,6.66,27.64
2024-01-15,13-22-36,6.63,27.64
2024-01-15,13-22-37,6.62,27.64
2024-01-15,13-22-39,6.62,27.64
2024-01-15,13-22-40,6.65,27.64
2024-01-15,13-22-41,6.63,27.65
2024-01-15,13-22-42,6.63,27.65
2024-01-15,13-22-44,6.65,27.63
2024-01-15,13-22-45,6.64,27.65
2024-01-15,13-22-47,6.64,27.65
2024-01-15,13-22-48,6.67,27.64
2024-01-15,13-22-49,6.69,27.65
2024-01-15,13-22-50,6.69,27.65
2024-01-15,13-22-52,6.70,27.64
2024-01-15,13-22-53,6.70,27.64
2024-01-15,13-22-54,6.70,27.64
2024-01-15,13-22-56,6.69,27.65
2024-01-15,13-22-57,6.70,27.64
2024-01-15,13-22-58,6.70,27.64
2024-01-15,13-22-59,6.70,27.64
